RamanShift,0.625 mg/mL IgG1,1.25 mg/mL IgG1,2.5 mg/mL IgG1,5 mg/mL IgG1,10 mg/mL IgG1
3087,304178.8442,316814.6033,320107.4773,320835.3457,311153.6972
3086,300854.3788,313103.1,316557.6246,317153.8787,308031.1284
3085,297342.1951,310089.9818,313190.8908,313522.2615,304740.6259
3084,293615.6839,307206.8587,309724.762,310077.4643,301132.7488
3083,290117.1242,303953.7788,306025.8382,306819.3907,297678.8341
3082,287073.1362,300385.6543,302254.4429,303745.9711,294800.9643
3081,284295.1544,296615.9765,298517.8056,300658.2813,292255.9743
3080,281558.0803,292794.5339,294911.6183,297213.652,289565.519
3079,278716.5391,289332.3648,291727.666,293539.3104,286527.7319
3078,275643.6224,286430.1514,289072.3929,290243.6803,283126.5925
3077,272348.4382,283770.2114,286588.4171,287540.1747,279601.3934
3076,268972.6373,281003.2186,283886.8929,284896.9973,276511.5037
3075,265632.5014,278038.9006,280822.2323,281775.5866,274123.6582
3074,262484.6142,274839.6712,277374.5849,278280.0841,272050.9717
3073,259787.7488,271475.1798,273808.5324,274856.6293,269790.2915
3072,257585.8117,268247.8607,270615.4622,271715.7872,267160.492
3071,255469.9011,265314.7735,267847.5197,268879.636,264287.7172
3070,252874.2782,262409.9463,265057.2046,266479.7037,261552.4641
3069,249551.9605,259261.7226,262070.633,264486.8577,259189.9376
3068,245845.3891,256015.4779,259135.2503,262334.083,256824.6133
3067,242531.739,253011.6755,256381.9282,259414.719,253965.2935
3066,240035.5247,250379.6143,253806.6345,255933.7689,250804.4956
3065,237865.1074,247973.7309,251534.6871,252759.983,247898.5006
3064,235395.9779,245520.6024,249526.8279,250395.1116,245337.3699
3063,232814.2478,242827.9568,247253.8595,248446.5078,242775.6508
3062,230503.3603,240002.96,244159.7402,246151.73,240024.8848
3061,228235.6123,237321.9571,240443.3081,243194.2889,237226.2998
3060,225804.9479,234779.8675,236987.6934,239966.5726,234586.3176
3059,223477.902,232113.7836,234290.2744,237102.9674,232182.7124
3058,221219.6781,229350.6787,231858.2737,234799.9295,229975.435
3057,218654.537,226801.6934,229058.8282,232690.3217,227825.3371
3056,216002.8931,224455.2584,226080.3931,230332.4332,225509.8482
3055,213793.0377,221987.6714,223493.8314,227588.6452,222909.8634
3054,211811.1885,219350.6667,221338.4931,224610.2004,220164.1262
3053,209466.2681,216755.0682,219206.7796,221737.9145,217464.8235
3052,206735.4266,214223.2423,216874.6416,219280.5513,214846.1085
3051,203927.2692,211690.1621,214446.7983,217181.2479,212329.8675
3050,201169.5553,209310.4011,212122.1404,215107.1325,209951.2714
3049,198610.1009,207237.953,209977.7582,212871.4409,207535.1001
3048,196425.8391,205326.5558,207829.1877,210463.6901,204933.2789
3047,194446.7749,203282.4272,205408.8315,207871.7288,202462.9119
3046,192356.1964,200901.6787,202829.8426,205230.3003,200520.1284
3045,190203.4466,198146.0548,200529.0274,202827.482,198941.1925
3044,188248.8583,195264.9514,198560.056,200704.1321,197319.8431
3043,186459.422,192714.1366,196470.0133,198617.1224,195566.5632
3042,184523.8146,190620.0598,194089.4127,196471.922,193665.6555
3041,182284.2566,188592.0388,191757.3048,194387.5397,191443.105
3040,179945.8045,186417.128,189569.8196,192381.4935,188971.8939
3039,177836.1811,184455.9066,187224.1111,190328.202,186650.5183
3038,176009.7555,182918.6453,184772.7386,188148.0408,184667.0475
3037,174202.2176,181387.8895,182658.9719,185870.0613,182839.6609
3036,172245.8413,179502.4468,180895.1322,183592.9319,180983.5354
3035,170322.9723,177449.5535,179047.8606,181377.5825,179096.3314
3034,168606.8261,175464.2963,177066.1589,179150.7209,177285.3662
3033,166917.4849,173472.713,175325.0861,176896.3402,175654.3754
3032,165067.4399,171402.2097,173838.2716,174899.9322,174105.5975
3031,163266.8669,169392.1808,172145.6225,173426.6737,172347.3881
3030,161745.8991,167625.2782,170038.4325,172162.538,170337.6904
3029,160242.5055,166081.221,167852.6321,170439.8036,168488.8519
3028,158379.7825,164471.4944,165991.3406,168110.0032,167126.1667
3027,156306.2956,162600.2039,164528.5616,165768.772,165988.2748
3026,154414.2687,160719.4044,163256.5422,163987.979,164558.8428
3025,152659.2482,159110.9391,161854.2152,162690.3356,162706.6346
3024,150756.4295,157556.6989,160094.6599,161411.1516,160761.3592
3023,148845.3193,155770.9828,158065.5172,159858.9921,159049.8811
3022,147320.663,153945.8057,156059.9787,158089.2894,157539.0418
3021,146118.3331,152314.976,154197.0783,156341.3011,156013.6633
3020,144749.3105,150705.7743,152351.7349,154779.0723,154490.0193
3019,142999.4892,148981.5587,150453.9308,153322.8299,153167.0347
3018,141164.2955,147370.7216,148617.9272,151796.3486,151993.1025
3017,139630.8289,146006.4393,146977.1264,150193.3104,150697.8419
3016,138465.0566,144609.6158,145556.9012,148599.6616,149256.4164
3015,137345.7574,142880.8812,144275.2125,146978.7401,147883.27
3014,135889.4554,140904.9812,142977.3842,145318.0278,146652.9227
